file,total_cc,avg_cc,lloc,volume,difficulty,effort,time,bugs
_timer,22,2.44,82,72.0,3.6,259.2,14.4,0.02
cmd,20,2.86,106,137.55,2.63,361.97,20.11,0.05
config,58,3.22,355,351.85,5.26,1851.86,102.88,0.12
da,14,2.33,81,130.8,4.17,545.0,30.28,0.04
decorators,8,2.0,53,4.75,0.5,2.38,0.13,0.0
dict_unpacking,19,2.71,62,39.86,2.33,93.01,5.17,0.01
h_base,18,1.29,113,0,0,0,0.0,0.0
headers,4,1.33,13,4.75,0.5,2.38,0.13,0.0
immutable_list,36,2.4,127,304.38,2.95,899.3,49.96,0.1
journaling,36,2.57,138,108.05,3.21,347.3,19.29,0.04
lazy_import,84,3.11,397,717.13,6.99,5013.81,278.54,0.24
maybe,32,2.13,142,76.15,2.6,197.98,11.0,0.03
namedtupleutils,21,4.2,160,59.21,1.5,88.81,4.93,0.02
packages,44,6.29,262,1088.51,11.9,12951.37,719.52,0.36
pgzero_frontend,4,1.33,24,2.0,0.5,1.0,0.06,0.0
positional_validation,4,4.0,32,16.25,1.33,21.67,1.2,0.01
py_base,34,2.27,105,135.71,4.16,564.03,31.34,0.05
py_helpers,9,1.5,32,4.75,0.5,2.38,0.13,0.0
python,5,5.0,35,105.49,2.25,237.34,13.19,0.04
return_from_generator,26,5.2,58,51.81,2.0,103.61,5.76,0.02
s_helpers,17,1.89,154,139.32,3.69,514.69,28.59,0.05
signals,10,1.43,116,11.61,1.0,11.61,0.64,0.0
validation,22,1.38,123,72.34,2.6,188.08,10.45,0.02
yield_from,24,3.0,65,55.51,1.5,83.26,4.63,0.02
