Original name,New name
codetiming._timer,timer
flutils.decorators,decorators
flutils.namedtupleutils,namedtupleutils
flutils.packages,packages
flutils.setuputils.cmd,cmd
httpie.output.formatters.headers,headers
httpie.plugins.base,h_base
mimesis.builtins.da,da
py_backwards.transformers.base,py_base
py_backwards.transformers.dict_unpacking,dict_unpacking
py_backwards.transformers.return_from_generator,return_from_generator
py_backwards.transformers.yield_from,yield_from
py_backwards.utils.helpers,helpers
pymonet.immutable_list,immutable_list
pymonet.maybe,maybe
pymonet.validation,validation
pypara.accounting.journaling,journaling
pytutils.lazy.lazy_import,lazy_import
pytutils.python,python
sanic.config,config
sanic.helpers,helpers
sanic.mixins.signals,signals
thonny.plugins.pgzero_frontend,pgzero_frontend
typesystem.tokenize.positional_validation,positional_validation
