,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[return_from_generator x ChromLen|TestDeleteProb],-1.521,1.472,-3.763,0.324,0.03,0.021,2435.0,8932.0,1.0
g_mp[return_from_generator x RandPert|TestInsertProb],-1.13,1.245,-3.073,0.485,0.022,0.016,3189.0,10427.0,1.0
g_mp[return_from_generator x Elite|TestChangeProb],-1.105,1.24,-3.036,0.504,0.022,0.015,3334.0,9022.0,1.0
g_mp[return_from_generator x ChromLen|TourSize],-0.906,1.129,-2.77,0.555,0.017,0.012,4620.0,10123.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestDeleteProb],-0.889,1.136,-2.641,0.694,0.017,0.012,4972.0,9942.0,1.0
g_mp[return_from_generator x TestInsertProb|TourSize],-0.858,1.116,-2.608,0.686,0.017,0.012,4694.0,9973.0,1.0
g_mp[return_from_generator x Elite|TestDeleteProb],-0.781,1.098,-2.526,0.737,0.015,0.011,5236.0,9706.0,1.0
g_mp[yield_from x TestChangeProb|TestInsertionProb],-0.734,1.055,-2.43,0.74,0.015,0.01,5783.0,11703.0,1.0
g_mp[return_from_generator x Crossover|RandPert],-0.639,1.025,-2.273,0.864,0.013,0.009,6751.0,10850.0,1.0
g_mp[return_from_generator x TestInsertProb|TestInsertionProb],-0.619,1.008,-2.241,0.842,0.012,0.009,7539.0,12148.0,1.0
g_mp[return_from_generator x Elite|TourSize],-0.603,1.007,-2.246,0.845,0.012,0.009,8231.0,12098.0,1.0
g_mp[return_from_generator x ChromLen|Pop],-0.6,1.011,-2.227,0.87,0.012,0.009,7882.0,11166.0,1.0
g_mp[return_from_generator x Pop|TestChangeProb],-0.566,1.004,-2.2,0.916,0.011,0.009,8947.0,10965.0,1.0
g_mp[return_from_generator x RandPert|TestChangeProb],-0.566,1.01,-2.231,0.877,0.011,0.009,9260.0,10696.0,1.0
g_mp[return_from_generator x Pop|TestDeleteProb],-0.557,1.009,-2.292,0.825,0.011,0.009,8958.0,11660.0,1.0
g_mp[yield_from x Elite|TestChangeProb],-0.546,0.982,-2.045,0.971,0.012,0.009,7868.0,11661.0,1.0
g_mp[yield_from x Crossover|RandPert],-0.524,0.982,-2.117,0.925,0.01,0.009,10308.0,10894.0,1.0
g_mp[yield_from x ChromLen|Pop],-0.517,0.979,-2.075,0.958,0.011,0.009,9222.0,10307.0,1.0
g_mp[return_from_generator x ChangeParamProb|Crossover],-0.513,0.996,-2.199,0.915,0.01,0.009,10817.0,11517.0,1.0
g_mp[return_from_generator x TestDeleteProb|TestInsertionProb],-0.5,0.977,-2.138,0.871,0.01,0.008,9677.0,12025.0,1.0
g_mp[return_from_generator x Elite|StatemInsertProb],0.633,1.02,-0.785,2.329,0.013,0.009,6835.0,9941.0,1.0
g_mp[yield_from x StatemInsertProb|TestInsertionProb],0.634,1.029,-0.736,2.392,0.014,0.01,6208.0,9647.0,1.0
g_mp[packages x Crossover|RandPert],0.65,1.031,-0.757,2.373,0.013,0.01,6593.0,11159.0,1.0
g_mp[positional_validation x TestDeleteProb|TestInsertionProb],0.653,1.03,-0.829,2.327,0.014,0.01,6711.0,10323.0,1.0
g_mp[positional_validation x ChromLen|TestChangeProb],0.661,1.035,-0.772,2.355,0.013,0.009,7485.0,11049.0,1.0
g_mp[dict_unpacking x ChangeParamProb|TestChangeProb],0.68,1.043,-0.828,2.359,0.014,0.01,6582.0,9541.0,1.0
g_mp[return_from_generator x Pop|RandPert],0.694,1.042,-0.676,2.48,0.013,0.01,6898.0,10209.0,1.0
g_mp[positional_validation x Elite|TestInsertionProb],0.732,1.071,-0.776,2.445,0.015,0.011,5577.0,9704.0,1.0
g_mp[packages x Pop|TestInsertProb],0.743,1.069,-0.784,2.416,0.015,0.011,5291.0,9747.0,1.0
g_mp[positional_validation x RandPert|TestChangeProb],0.84,1.116,-0.69,2.616,0.016,0.012,4903.0,11141.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestInsertionProb],0.91,1.146,-0.604,2.741,0.018,0.013,4280.0,10608.0,1.0
g_mp[positional_validation x Pop|StatemInsertProb],1.016,1.187,-0.569,2.878,0.019,0.014,3932.0,10276.0,1.0
g_mp[return_from_generator x Crossover|TestInsertProb],1.03,1.199,-0.564,2.911,0.02,0.014,3554.0,9365.0,1.0
g_mp[return_from_generator x ChromLen|RandPert],1.059,1.212,-0.589,2.895,0.021,0.015,3461.0,9907.0,1.0
g_mp[return_from_generator x RandPert|TourSize],1.155,1.264,-0.531,3.049,0.022,0.016,3236.0,10725.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestChangeProb],1.157,1.258,-0.475,3.086,0.022,0.016,3188.0,9296.0,1.0
g_mp[packages x RandPert|TestInsertProb],1.207,1.296,-0.509,3.175,0.024,0.017,2861.0,8225.0,1.0
g_mp[return_from_generator x ChromLen|TestInsertionProb],1.249,1.318,-0.416,3.293,0.024,0.017,3150.0,9999.0,1.0
g_mp[return_from_generator x RandPert|TestInsertionProb],1.332,1.362,-0.43,3.412,0.026,0.018,2722.0,8998.0,1.0
g_mp[packages x TestInsertProb|TestInsertionProb],1.519,1.475,-0.344,3.78,0.029,0.021,2451.0,9208.0,1.0
