,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[packages],14.288,0.554,13.398,15.174,0.004,0.003,20207.0,15721.0,1.0
a_m[cmd],19.935,0.558,19.067,20.837,0.004,0.003,20020.0,17673.0,1.0
a_m[dict_unpacking],38.773,0.558,37.868,39.654,0.004,0.003,18913.0,16051.0,1.0
a_m[signals],56.075,0.551,55.218,56.97,0.004,0.003,20893.0,16211.0,1.0
a_m[python],66.444,0.551,65.561,67.325,0.004,0.003,20294.0,15717.0,1.0
a_m[return_from_generator],68.858,0.55,67.953,69.702,0.004,0.003,20102.0,15303.0,1.0
a_m[py_base],69.391,0.554,68.501,70.271,0.004,0.003,20269.0,15565.0,1.0
a_m[positional_validation],83.962,0.548,83.102,84.857,0.004,0.003,19903.0,15735.0,1.0
a_m[journaling],92.079,0.553,91.186,92.951,0.004,0.003,20567.0,13838.0,1.0
a_m[yield_from],133.761,0.555,132.873,134.656,0.004,0.003,18582.0,14504.0,1.0
a_m[lazy_import],136.241,0.552,135.328,137.105,0.004,0.003,20060.0,14089.0,1.0
a_m[pgzero_frontend],179.39,0.547,178.525,180.265,0.004,0.003,19853.0,15521.0,1.0
a_m[headers],179.392,0.551,178.51,180.275,0.004,0.003,20363.0,15192.0,1.0
a_m[helpers],187.184,0.549,186.315,188.067,0.004,0.003,20135.0,14042.0,1.0
a_m[decorators],199.328,0.553,198.454,200.224,0.004,0.003,19478.0,14543.0,1.0
a_m[helpers],219.567,0.549,218.664,220.411,0.004,0.003,20150.0,14291.0,1.0
a_m[h_base],222.216,0.555,221.316,223.085,0.004,0.003,20374.0,16283.0,1.0
a_m[immutable_list],225.816,0.549,224.953,226.71,0.004,0.003,19622.0,16015.0,1.0
a_m[config],230.733,0.554,229.849,231.614,0.004,0.003,19744.0,16031.0,1.0
a_m[da],239.195,0.552,238.3,240.064,0.004,0.003,19899.0,16016.0,1.0
a_m[timer],258.606,0.555,257.677,259.449,0.004,0.003,20192.0,17424.0,1.0
a_m[validation],273.573,0.553,272.666,274.435,0.004,0.003,19421.0,16168.0,1.0
a_m[maybe],273.977,0.554,273.085,274.845,0.004,0.003,20154.0,16295.0,1.0
a_m[namedtupleutils],276.11,0.551,275.245,277.001,0.004,0.003,19098.0,15046.0,1.0
