,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_p[Pop],-0.322,0.431,-1.015,0.248,0.004,0.003,10616.0,14325.0,1.0
b_p[Crossover],-0.271,0.401,-0.937,0.267,0.004,0.003,11538.0,15972.0,1.0
b_p[ChromLen],-0.268,0.403,-0.935,0.264,0.004,0.003,11461.0,15050.0,1.0
b_p[TestDeleteProb],-0.181,0.37,-0.77,0.365,0.003,0.002,17209.0,15300.0,1.0
b_p[StatemInsertProb],-0.041,0.345,-0.598,0.513,0.002,0.002,26029.0,17555.0,1.0
b_p[TourSize],0.019,0.347,-0.534,0.584,0.002,0.002,26888.0,16617.0,1.0
b_p[ChangeParamProb],0.053,0.34,-0.458,0.648,0.002,0.002,26652.0,17816.0,1.0
b_p[TestInsertProb],0.077,0.346,-0.462,0.65,0.002,0.002,25152.0,16167.0,1.0
b_p[TestChangeProb],0.09,0.346,-0.44,0.656,0.002,0.002,20362.0,16384.0,1.0
b_p[Elite],0.1,0.348,-0.441,0.669,0.002,0.002,22696.0,16992.0,1.0
b_p[RandPert],0.141,0.353,-0.381,0.735,0.003,0.002,18461.0,16399.0,1.0
b_p[TestInsertionProb],0.316,0.418,-0.247,0.983,0.004,0.003,10381.0,16178.0,1.0
