,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[return_from_generator x ChromLen|TestDeleteProb],-0.179,0.056,-0.264,-0.085,0.001,0.0,8933.0,10362.0,1.0
g_mp[return_from_generator x Elite|TestChangeProb],-0.138,0.052,-0.218,-0.052,0.0,0.0,11784.0,11538.0,1.0
g_mp[return_from_generator x ChromLen|Crossover],-0.101,0.048,-0.178,-0.024,0.0,0.0,15876.0,13756.0,1.0
g_mp[return_from_generator x Crossover|RandPert],-0.099,0.048,-0.176,-0.023,0.0,0.0,15735.0,13175.0,1.0
g_mp[return_from_generator x Elite|TourSize],-0.097,0.048,-0.172,-0.021,0.0,0.0,15558.0,13410.0,1.0
g_mp[return_from_generator x ChangeParamProb|StatemInsertProb],-0.063,0.046,-0.136,0.01,0.0,0.0,27634.0,14351.0,1.0
g_mp[yield_from x Elite|TestChangeProb],-0.063,0.045,-0.135,0.011,0.0,0.0,23461.0,14175.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestDeleteProb],-0.062,0.046,-0.134,0.011,0.0,0.0,24197.0,14036.0,1.0
g_mp[return_from_generator x Pop|TestInsertionProb],-0.061,0.045,-0.133,0.011,0.0,0.0,23929.0,13845.0,1.0
g_mp[return_from_generator x ChromLen|Pop],-0.061,0.045,-0.13,0.014,0.0,0.0,25307.0,14143.0,1.0
g_mp[return_from_generator x Pop|TestChangeProb],-0.06,0.046,-0.136,0.01,0.0,0.0,24537.0,14734.0,1.0
g_mp[return_from_generator x ChromLen|TestChangeProb],-0.059,0.045,-0.129,0.015,0.0,0.0,26076.0,14274.0,1.0
g_mp[return_from_generator x ChromLen|TourSize],-0.059,0.045,-0.129,0.016,0.0,0.0,18990.0,14744.0,1.0
g_mp[return_from_generator x TestDeleteProb|TestInsertionProb],-0.059,0.046,-0.134,0.014,0.0,0.0,23787.0,14437.0,1.0
g_mp[return_from_generator x ChangeParamProb|Pop],-0.059,0.045,-0.131,0.014,0.0,0.0,23298.0,14685.0,1.0
g_mp[return_from_generator x StatemInsertProb|TourSize],-0.059,0.046,-0.131,0.015,0.0,0.0,27260.0,13147.0,1.0
g_mp[return_from_generator x Elite|Pop],-0.058,0.046,-0.13,0.017,0.0,0.0,25899.0,14174.0,1.0
g_mp[return_from_generator x ChangeParamProb|TestChangeProb],-0.057,0.045,-0.131,0.012,0.0,0.0,24962.0,14042.0,1.0
g_mp[py_base x Crossover|TestInsertProb],-0.052,0.045,-0.125,0.019,0.0,0.0,30308.0,14237.0,1.0
g_mp[yield_from x Elite|Pop],-0.051,0.044,-0.121,0.019,0.0,0.0,26417.0,15065.0,1.0
g_mp[packages x TestInsertProb|TestInsertionProb],0.05,0.049,-0.027,0.127,0.0,0.0,27974.0,14142.0,1.0
g_mp[positional_validation x TestDeleteProb|TestInsertionProb],0.053,0.045,-0.018,0.124,0.0,0.0,28006.0,14890.0,1.0
g_mp[yield_from x StatemInsertProb|TestInsertionProb],0.063,0.045,-0.009,0.134,0.0,0.0,24412.0,15063.0,1.0
g_mp[h_base x TestDeleteProb|TestInsertionProb],0.069,0.046,-0.004,0.143,0.0,0.0,21341.0,14526.0,1.0
g_mp[positional_validation x ChangeParamProb|StatemInsertProb],0.071,0.047,-0.005,0.143,0.0,0.0,21879.0,14644.0,1.0
g_mp[positional_validation x ChromLen|TestChangeProb],0.071,0.047,-0.005,0.144,0.0,0.0,20714.0,14064.0,1.0
g_mp[positional_validation x Pop|StatemInsertProb],0.071,0.047,-0.001,0.148,0.0,0.0,19957.0,14368.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestInsertionProb],0.074,0.046,0.001,0.148,0.0,0.0,19449.0,14226.0,1.0
g_mp[return_from_generator x RandPert|TestDeleteProb],0.075,0.047,-0.001,0.149,0.0,0.0,20489.0,14041.0,1.0
g_mp[return_from_generator x ChromLen|RandPert],0.075,0.047,0.002,0.15,0.0,0.0,20389.0,14352.0,1.0
g_mp[return_from_generator x Crossover|TestInsertionProb],0.075,0.047,0.001,0.15,0.0,0.0,22201.0,14149.0,1.0
g_mp[return_from_generator x Pop|TourSize],0.079,0.048,0.0,0.151,0.0,0.0,21986.0,14703.0,1.0
g_mp[return_from_generator x ChangeParamProb|TestInsertionProb],0.079,0.047,0.004,0.155,0.0,0.0,19551.0,14257.0,1.0
g_mp[return_from_generator x Crossover|TourSize],0.08,0.048,0.002,0.154,0.0,0.0,19053.0,13884.0,1.0
g_mp[return_from_generator x TestChangeProb|TestInsertProb],0.081,0.048,0.003,0.157,0.0,0.0,18439.0,13866.0,1.0
g_mp[positional_validation x ChromLen|Pop],0.099,0.049,0.018,0.173,0.0,0.0,16464.0,14128.0,1.0
g_mp[return_from_generator x Crossover|TestInsertProb],0.126,0.053,0.04,0.208,0.0,0.0,13501.0,11849.0,1.0
g_mp[return_from_generator x RandPert|TestInsertionProb],0.173,0.059,0.078,0.264,0.001,0.0,9368.0,9537.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestChangeProb],0.174,0.059,0.077,0.266,0.001,0.0,9247.0,11045.0,1.0
g_mp[return_from_generator x ChromLen|TestInsertionProb],0.174,0.06,0.08,0.27,0.001,0.0,9687.0,10082.0,1.0
