,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[packages],-2.88,0.024,-2.918,-2.842,0.0,0.0,20388.0,14597.0,1.0
a_m[cmd],-2.484,0.021,-2.517,-2.45,0.0,0.0,20249.0,16549.0,1.0
a_m[dict_unpacking],-1.782,0.016,-1.809,-1.756,0.0,0.0,20508.0,14995.0,1.0
a_m[signals],-1.416,0.015,-1.44,-1.392,0.0,0.0,19394.0,14227.0,1.0
a_m[python],-1.214,0.014,-1.236,-1.191,0.0,0.0,20205.0,14635.0,1.0
a_m[return_from_generator],-0.984,0.014,-1.006,-0.962,0.0,0.0,20211.0,13848.0,1.0
a_m[py_base],-0.911,0.014,-0.932,-0.889,0.0,0.0,20220.0,14146.0,1.0
a_m[positional_validation],-0.85,0.013,-0.87,-0.828,0.0,0.0,20562.0,14031.0,1.0
a_m[journaling],-0.74,0.013,-0.761,-0.72,0.0,0.0,19002.0,12131.0,1.0
a_m[lazy_import],-0.118,0.012,-0.137,-0.098,0.0,0.0,19806.0,13149.0,1.0
a_m[yield_from],0.068,0.012,0.049,0.088,0.0,0.0,20108.0,13490.0,1.0
a_m[pgzero_frontend],0.395,0.012,0.375,0.415,0.0,0.0,19699.0,14513.0,1.0
a_m[headers],0.396,0.012,0.376,0.415,0.0,0.0,19272.0,13629.0,1.0
a_m[helpers],0.545,0.013,0.525,0.564,0.0,0.0,20399.0,14465.0,1.0
a_m[decorators],0.675,0.013,0.654,0.695,0.0,0.0,20263.0,13318.0,1.0
a_m[immutable_list],1.095,0.014,1.073,1.117,0.0,0.0,19426.0,14003.0,1.0
a_m[helpers],1.12,0.014,1.097,1.141,0.0,0.0,20004.0,14454.0,1.0
a_m[h_base],1.143,0.014,1.121,1.166,0.0,0.0,19723.0,13486.0,1.0
a_m[config],1.294,0.014,1.272,1.318,0.0,0.0,20041.0,14214.0,1.0
a_m[da],1.341,0.015,1.318,1.364,0.0,0.0,20230.0,15180.0,1.0
a_m[timer],1.93,0.017,1.902,1.957,0.0,0.0,20214.0,15803.0,1.0
a_m[maybe],2.274,0.02,2.243,2.306,0.0,0.0,19345.0,15615.0,1.0
a_m[validation],2.274,0.02,2.243,2.306,0.0,0.0,19883.0,15375.0,1.0
a_m[namedtupleutils],2.617,0.022,2.582,2.652,0.0,0.0,20088.0,14577.0,1.0
