,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[packages],0.053,0.001,0.051,0.055,0.0,0.0,20935.0,15074.0,1.0
a_m[cmd],0.077,0.002,0.074,0.079,0.0,0.0,21318.0,15202.0,1.0
a_m[dict_unpacking],0.144,0.002,0.14,0.147,0.0,0.0,20845.0,15383.0,1.0
a_m[signals],0.195,0.003,0.191,0.199,0.0,0.0,20380.0,15812.0,1.0
a_m[python],0.229,0.003,0.224,0.233,0.0,0.0,21613.0,15104.0,1.0
a_m[return_from_generator],0.274,0.003,0.269,0.278,0.0,0.0,19850.0,15011.0,1.0
a_m[py_base],0.287,0.003,0.282,0.292,0.0,0.0,20902.0,14904.0,1.0
a_m[positional_validation],0.299,0.003,0.295,0.304,0.0,0.0,21731.0,16048.0,1.0
a_m[journaling],0.323,0.003,0.318,0.328,0.0,0.0,21403.0,15741.0,1.0
a_m[lazy_import],0.471,0.003,0.465,0.476,0.0,0.0,21390.0,14746.0,1.0
a_m[yield_from],0.517,0.003,0.512,0.522,0.0,0.0,21806.0,15141.0,1.0
a_m[pgzero_frontend],0.598,0.003,0.593,0.603,0.0,0.0,21162.0,14673.0,1.0
a_m[headers],0.598,0.003,0.592,0.603,0.0,0.0,22126.0,15139.0,1.0
a_m[py_helpers],0.633,0.003,0.628,0.638,0.0,0.0,20414.0,14440.0,1.0
a_m[decorators],0.663,0.003,0.658,0.668,0.0,0.0,21916.0,14095.0,1.0
a_m[immutable_list],0.75,0.003,0.745,0.754,0.0,0.0,21617.0,15615.0,1.0
a_m[s_helpers],0.754,0.003,0.75,0.759,0.0,0.0,21395.0,15233.0,1.0
a_m[h_base],0.758,0.003,0.754,0.763,0.0,0.0,22274.0,15991.0,1.0
a_m[config],0.785,0.003,0.781,0.789,0.0,0.0,22049.0,14411.0,1.0
a_m[da],0.793,0.003,0.789,0.797,0.0,0.0,21538.0,15049.0,1.0
a_m[timer],0.873,0.002,0.87,0.877,0.0,0.0,20498.0,15091.0,1.0
a_m[maybe],0.907,0.002,0.904,0.91,0.0,0.0,19617.0,15988.0,1.0
a_m[validation],0.907,0.002,0.904,0.91,0.0,0.0,19790.0,15555.0,1.0
a_m[namedtupleutils],0.932,0.001,0.93,0.934,0.0,0.0,20743.0,15270.0,1.0
