,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_p[Elite|TestChangeProb],0.495,0.004,0.489,0.501,0.0,0.0,8423.0,12796.0,1.0
b_p[StatemInsertProb|TestDeleteProb],0.497,0.003,0.492,0.502,0.0,0.0,15894.0,14592.0,1.0
b_p[ChromLen|TestDeleteProb],0.497,0.003,0.492,0.502,0.0,0.0,17120.0,14708.0,1.0
b_p[ChangeParamProb|ChromLen],0.498,0.003,0.493,0.503,0.0,0.0,22915.0,13943.0,1.0
b_p[Elite|TestInsertProb],0.498,0.003,0.493,0.503,0.0,0.0,25782.0,15259.0,1.0
b_p[TestChangeProb|TestDeleteProb],0.498,0.003,0.493,0.503,0.0,0.0,23947.0,14159.0,1.0
b_p[Elite|TourSize],0.498,0.003,0.492,0.502,0.0,0.0,17529.0,15276.0,1.0
b_p[ChromLen|Crossover],0.498,0.003,0.493,0.502,0.0,0.0,19821.0,14157.0,1.0
b_p[Elite|TestDeleteProb],0.499,0.003,0.494,0.504,0.0,0.0,36244.0,14751.0,1.0
b_p[Crossover|RandPert],0.499,0.003,0.494,0.503,0.0,0.0,34395.0,14406.0,1.0
b_p[Crossover|Pop],0.499,0.003,0.494,0.504,0.0,0.0,32754.0,14813.0,1.0
b_p[ChromLen|TourSize],0.499,0.003,0.494,0.503,0.0,0.0,30148.0,14282.0,1.0
b_p[Pop|TestChangeProb],0.499,0.003,0.494,0.504,0.0,0.0,31323.0,15675.0,1.0
b_p[Elite|RandPert],0.499,0.003,0.495,0.504,0.0,0.0,42998.0,14373.0,1.0
b_p[RandPert|StatemInsertProb],0.499,0.003,0.495,0.504,0.0,0.0,38319.0,14470.0,1.0
b_p[ChromLen|Elite],0.499,0.003,0.494,0.504,0.0,0.0,34938.0,14785.0,1.0
b_p[StatemInsertProb|TestInsertProb],0.499,0.003,0.495,0.504,0.0,0.0,43412.0,14924.0,1.0
b_p[StatemInsertProb|TourSize],0.499,0.003,0.495,0.504,0.0,0.0,41270.0,14153.0,1.0
b_p[ChangeParamProb|TestDeleteProb],0.499,0.003,0.494,0.503,0.0,0.0,27787.0,15094.0,1.0
b_p[ChangeParamProb|TestChangeProb],0.499,0.003,0.494,0.503,0.0,0.0,30025.0,15191.0,1.0
b_p[TestChangeProb|TourSize],0.499,0.003,0.494,0.503,0.0,0.0,28286.0,15213.0,1.0
b_p[ChangeParamProb|Pop],0.499,0.003,0.495,0.504,0.0,0.0,38780.0,14742.0,1.0
b_p[ChromLen|Pop],0.499,0.003,0.494,0.504,0.0,0.0,32878.0,15056.0,1.0
b_p[Elite|Pop],0.499,0.003,0.494,0.503,0.0,0.0,30792.0,15274.0,1.0
b_p[Pop|TourSize],0.5,0.003,0.495,0.505,0.0,0.0,39118.0,15020.0,1.0
b_p[Pop|TestDeleteProb],0.5,0.003,0.495,0.504,0.0,0.0,39112.0,14391.0,1.0
b_p[Pop|RandPert],0.5,0.003,0.496,0.505,0.0,0.0,42913.0,14921.0,1.0
