,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[return_from_generator x Pop],-0.226,0.058,-0.315,-0.132,0.001,0.0,10506.0,12304.0,1.0
g_mp[return_from_generator x ChromLen],-0.088,0.041,-0.153,-0.023,0.0,0.0,21392.0,14670.0,1.0
g_mp[return_from_generator x TestDeleteProb],-0.078,0.04,-0.141,-0.014,0.0,0.0,19762.0,14801.0,1.0
g_mp[return_from_generator x StatemInsertProb],-0.061,0.039,-0.124,-0.0,0.0,0.0,25763.0,14554.0,1.0
g_mp[positional_validation x TestInsertProb],-0.037,0.036,-0.094,0.021,0.0,0.0,30501.0,14509.0,1.0
g_mp[yield_from x ChangeParamProb],-0.033,0.036,-0.089,0.025,0.0,0.0,30052.0,13992.0,1.0
g_mp[py_base x RandPert],-0.028,0.036,-0.085,0.03,0.0,0.0,32281.0,14855.0,1.0
g_mp[journaling x Crossover],-0.024,0.036,-0.081,0.033,0.0,0.0,30601.0,14779.0,1.0
g_mp[journaling x TourSize],-0.022,0.036,-0.079,0.036,0.0,0.0,28668.0,14024.0,1.0
g_mp[config x Pop],-0.021,0.037,-0.08,0.038,0.0,0.0,29518.0,15056.0,1.0
g_mp[helpers x ChangeParamProb],-0.021,0.036,-0.079,0.037,0.0,0.0,35806.0,13983.0,1.0
g_mp[yield_from x TestDeleteProb],-0.02,0.035,-0.075,0.037,0.0,0.0,32862.0,15802.0,1.0
g_mp[yield_from x RandPert],-0.02,0.035,-0.077,0.036,0.0,0.0,35990.0,14847.0,1.0
g_mp[positional_validation x TestChangeProb],-0.018,0.036,-0.077,0.038,0.0,0.0,33644.0,14697.0,1.0
g_mp[positional_validation x Crossover],-0.018,0.036,-0.073,0.042,0.0,0.0,35484.0,15016.0,1.0
g_mp[yield_from x TourSize],-0.018,0.035,-0.071,0.04,0.0,0.0,36330.0,14922.0,1.0
g_mp[positional_validation x TourSize],-0.018,0.036,-0.073,0.041,0.0,0.0,37365.0,15106.0,1.0
g_mp[py_base x StatemInsertProb],-0.016,0.036,-0.073,0.043,0.0,0.0,32759.0,14734.0,1.0
g_mp[h_base x Elite],-0.016,0.036,-0.075,0.041,0.0,0.0,36166.0,15488.0,1.0
g_mp[positional_validation x ChromLen],-0.016,0.036,-0.073,0.042,0.0,0.0,28941.0,15022.0,1.0
g_mp[positional_validation x TestDeleteProb],-0.016,0.036,-0.073,0.043,0.0,0.0,32943.0,15213.0,1.0
g_mp[yield_from x Pop],-0.016,0.035,-0.072,0.04,0.0,0.0,28107.0,14474.0,1.0
g_mp[helpers x TourSize],-0.015,0.036,-0.074,0.042,0.0,0.0,35782.0,14892.0,1.0
g_mp[py_base x Pop],-0.015,0.037,-0.074,0.043,0.0,0.0,29763.0,14674.0,1.0
g_mp[h_base x ChromLen],-0.013,0.036,-0.069,0.047,0.0,0.0,36613.0,14886.0,1.0
g_mp[h_base x TestDeleteProb],-0.013,0.037,-0.071,0.045,0.0,0.0,39203.0,14844.0,1.0
g_mp[packages x TestInsertionProb],-0.012,0.041,-0.077,0.053,0.0,0.0,37852.0,15127.0,1.0
g_mp[py_base x ChromLen],-0.012,0.036,-0.068,0.047,0.0,0.0,33577.0,15484.0,1.0
g_mp[dict_unpacking x RandPert],-0.012,0.038,-0.071,0.051,0.0,0.0,32157.0,13712.0,1.0
g_mp[helpers x TestDeleteProb],-0.012,0.037,-0.073,0.044,0.0,0.0,37417.0,13482.0,1.0
g_mp[dict_unpacking x TourSize],-0.011,0.038,-0.069,0.052,0.0,0.0,33454.0,15076.0,1.0
g_mp[packages x ChangeParamProb],-0.011,0.04,-0.073,0.055,0.0,0.0,32803.0,14481.0,1.0
g_mp[return_from_generator x TestChangeProb],-0.011,0.036,-0.071,0.045,0.0,0.0,33964.0,14613.0,1.0
g_mp[packages x Elite],-0.011,0.041,-0.076,0.053,0.0,0.0,36026.0,15095.0,1.0
g_mp[packages x Crossover],-0.01,0.04,-0.072,0.055,0.0,0.0,26743.0,14734.0,1.0
g_mp[helpers x Pop],-0.01,0.037,-0.067,0.05,0.0,0.0,33065.0,15040.0,1.0
g_mp[packages x TestChangeProb],-0.01,0.04,-0.073,0.055,0.0,0.0,35957.0,14265.0,1.0
g_mp[config x Elite],-0.01,0.037,-0.067,0.049,0.0,0.0,34831.0,15191.0,1.0
g_mp[h_base x Pop],-0.01,0.037,-0.069,0.047,0.0,0.0,35522.0,14865.0,1.0
g_mp[packages x ChromLen],-0.009,0.041,-0.072,0.056,0.0,0.0,34085.0,13384.0,1.0
g_mp[dict_unpacking x TestDeleteProb],-0.009,0.038,-0.07,0.051,0.0,0.0,33442.0,13555.0,1.0
g_mp[packages x Pop],-0.008,0.041,-0.071,0.059,0.0,0.0,34144.0,14538.0,1.0
g_mp[config x TourSize],-0.008,0.037,-0.067,0.051,0.0,0.0,39493.0,13199.0,1.0
g_mp[dict_unpacking x Elite],-0.007,0.038,-0.068,0.054,0.0,0.0,31029.0,13365.0,1.0
g_mp[positional_validation x TestInsertionProb],-0.005,0.035,-0.061,0.052,0.0,0.0,33511.0,15226.0,1.0
g_mp[config x Crossover],-0.005,0.036,-0.06,0.056,0.0,0.0,40422.0,14933.0,1.0
g_mp[lazy_import x RandPert],-0.005,0.034,-0.058,0.051,0.0,0.0,29988.0,14722.0,1.0
g_mp[timer x StatemInsertProb],-0.004,0.038,-0.067,0.055,0.0,0.0,31922.0,13582.0,1.0
g_mp[pgzero_frontend x TestInsertionProb],-0.004,0.035,-0.058,0.053,0.0,0.0,33470.0,13837.0,1.0
g_mp[signals x TestInsertionProb],-0.004,0.037,-0.063,0.055,0.0,0.0,32863.0,13766.0,1.0
g_mp[python x TestInsertionProb],-0.004,0.036,-0.062,0.053,0.0,0.0,40783.0,15367.0,1.0
g_mp[helpers x Crossover],-0.004,0.036,-0.062,0.054,0.0,0.0,34633.0,15203.0,1.0
g_mp[lazy_import x TourSize],-0.004,0.035,-0.059,0.051,0.0,0.0,36563.0,15551.0,1.0
g_mp[decorators x TestInsertionProb],-0.004,0.035,-0.059,0.054,0.0,0.0,31099.0,14840.0,1.0
g_mp[immutable_list x TestInsertionProb],-0.004,0.036,-0.063,0.053,0.0,0.0,35543.0,15537.0,1.0
g_mp[helpers x TestInsertionProb],-0.004,0.035,-0.058,0.053,0.0,0.0,31755.0,15146.0,1.0
g_mp[journaling x ChangeParamProb],-0.004,0.036,-0.059,0.055,0.0,0.0,34814.0,15015.0,1.0
g_mp[headers x TestInsertionProb],-0.004,0.035,-0.059,0.054,0.0,0.0,36098.0,14869.0,1.0
g_mp[py_base x TestInsertProb],-0.003,0.036,-0.061,0.055,0.0,0.0,37768.0,14312.0,1.0
g_mp[journaling x ChromLen],-0.003,0.035,-0.061,0.05,0.0,0.0,40717.0,15358.0,1.0
g_mp[signals x ChangeParamProb],-0.003,0.037,-0.06,0.055,0.0,0.0,33842.0,15120.0,1.0
g_mp[da x TestInsertionProb],-0.003,0.037,-0.06,0.056,0.0,0.0,35217.0,14324.0,1.0
g_mp[timer x Elite],-0.003,0.038,-0.064,0.059,0.0,0.0,35614.0,14442.0,1.0
g_mp[timer x RandPert],-0.003,0.039,-0.064,0.059,0.0,0.0,28973.0,14932.0,1.0
g_mp[helpers x RandPert],-0.003,0.036,-0.06,0.055,0.0,0.0,31777.0,14100.0,1.0
g_mp[journaling x Pop],-0.002,0.036,-0.058,0.056,0.0,0.0,33530.0,13966.0,1.0
g_mp[timer x TestInsertionProb],-0.002,0.038,-0.061,0.062,0.0,0.0,40603.0,15338.0,1.0
g_mp[signals x RandPert],-0.002,0.037,-0.06,0.058,0.0,0.0,33457.0,14873.0,1.0
g_mp[lazy_import x TestInsertProb],-0.002,0.035,-0.056,0.054,0.0,0.0,34470.0,15645.0,1.0
g_mp[signals x Elite],-0.002,0.037,-0.064,0.055,0.0,0.0,36908.0,14517.0,1.0
g_mp[cmd x TestInsertionProb],-0.002,0.04,-0.066,0.06,0.0,0.0,33846.0,14948.0,1.0
g_mp[headers x RandPert],-0.002,0.035,-0.057,0.054,0.0,0.0,32058.0,15219.0,1.0
g_mp[validation x TestInsertionProb],-0.002,0.039,-0.062,0.063,0.0,0.0,36693.0,13364.0,1.0
