,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[packages],-2.907,0.034,-2.961,-2.854,0.0,0.0,21505.0,16165.0,1.0
a_m[cmd],-2.492,0.03,-2.541,-2.445,0.0,0.0,22147.0,16181.0,1.0
a_m[dict_unpacking],-1.817,0.025,-1.855,-1.777,0.0,0.0,21691.0,17480.0,1.0
a_m[signals],-1.417,0.022,-1.453,-1.381,0.0,0.0,22225.0,16838.0,1.0
a_m[return_from_generator],-1.222,0.022,-1.258,-1.188,0.0,0.0,21213.0,15847.0,1.0
a_m[python],-1.216,0.022,-1.251,-1.182,0.0,0.0,21153.0,15871.0,1.0
a_m[py_base],-0.951,0.021,-0.983,-0.917,0.0,0.0,21735.0,16299.0,1.0
a_m[positional_validation],-0.911,0.021,-0.944,-0.878,0.0,0.0,22461.0,16220.0,1.0
a_m[journaling],-0.737,0.02,-0.77,-0.706,0.0,0.0,23203.0,15788.0,1.0
a_m[lazy_import],-0.12,0.019,-0.152,-0.09,0.0,0.0,22297.0,16086.0,1.0
a_m[yield_from],-0.043,0.02,-0.074,-0.011,0.0,0.0,21968.0,16930.0,1.0
a_m[pgzero_frontend],0.396,0.02,0.365,0.427,0.0,0.0,21947.0,16339.0,1.0
a_m[headers],0.396,0.02,0.365,0.427,0.0,0.0,21195.0,15555.0,1.0
a_m[py_helpers],0.546,0.02,0.516,0.579,0.0,0.0,22715.0,16083.0,1.0
a_m[decorators],0.676,0.02,0.645,0.709,0.0,0.0,21717.0,16565.0,1.0
a_m[h_base],1.085,0.021,1.051,1.119,0.0,0.0,22331.0,15198.0,1.0
a_m[immutable_list],1.098,0.021,1.064,1.132,0.0,0.0,21524.0,16727.0,1.0
a_m[s_helpers],1.117,0.021,1.082,1.15,0.0,0.0,21195.0,16611.0,1.0
a_m[config],1.282,0.022,1.246,1.316,0.0,0.0,23140.0,16523.0,1.0
a_m[da],1.345,0.022,1.309,1.379,0.0,0.0,21652.0,16208.0,1.0
a_m[timer],1.932,0.025,1.891,1.973,0.0,0.0,21105.0,17135.0,1.0
a_m[maybe],2.281,0.028,2.238,2.327,0.0,0.0,22018.0,16877.0,1.0
a_m[validation],2.281,0.028,2.236,2.324,0.0,0.0,20792.0,17273.0,1.0
a_m[namedtupleutils],2.63,0.031,2.58,2.679,0.0,0.0,20574.0,14332.0,1.0
