,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[packages],0.052,0.002,0.049,0.054,0.0,0.0,21505.0,16165.0,1.0
a_m[cmd],0.076,0.002,0.073,0.08,0.0,0.0,22147.0,16181.0,1.0
a_m[dict_unpacking],0.14,0.003,0.135,0.145,0.0,0.0,21691.0,17480.0,1.0
a_m[signals],0.195,0.004,0.19,0.201,0.0,0.0,22225.0,16838.0,1.0
a_m[return_from_generator],0.228,0.004,0.221,0.234,0.0,0.0,21213.0,15847.0,1.0
a_m[python],0.229,0.004,0.222,0.234,0.0,0.0,21153.0,15871.0,1.0
a_m[py_base],0.279,0.004,0.272,0.285,0.0,0.0,21735.0,16299.0,1.0
a_m[positional_validation],0.287,0.004,0.28,0.294,0.0,0.0,22461.0,16220.0,1.0
a_m[journaling],0.324,0.004,0.316,0.331,0.0,0.0,23203.0,15788.0,1.0
a_m[lazy_import],0.47,0.005,0.462,0.477,0.0,0.0,22297.0,16086.0,1.0
a_m[yield_from],0.489,0.005,0.482,0.497,0.0,0.0,21968.0,16930.0,1.0
a_m[pgzero_frontend],0.598,0.005,0.59,0.605,0.0,0.0,21947.0,16339.0,1.0
a_m[headers],0.598,0.005,0.59,0.605,0.0,0.0,21195.0,15555.0,1.0
a_m[helpers],0.633,0.005,0.626,0.641,0.0,0.0,22715.0,16083.0,1.0
a_m[decorators],0.663,0.004,0.656,0.67,0.0,0.0,21717.0,16565.0,1.0
a_m[h_base],0.747,0.004,0.741,0.754,0.0,0.0,22331.0,15198.0,1.0
a_m[immutable_list],0.75,0.004,0.744,0.756,0.0,0.0,21524.0,16727.0,1.0
a_m[helpers],0.753,0.004,0.747,0.759,0.0,0.0,21195.0,16611.0,1.0
a_m[config],0.783,0.004,0.777,0.788,0.0,0.0,23140.0,16523.0,1.0
a_m[da],0.793,0.004,0.787,0.799,0.0,0.0,21652.0,16208.0,1.0
a_m[timer],0.873,0.003,0.869,0.878,0.0,0.0,21105.0,17135.0,1.0
a_m[maybe],0.907,0.002,0.904,0.911,0.0,0.0,22018.0,16877.0,1.0
a_m[validation],0.907,0.002,0.904,0.911,0.0,0.0,20792.0,17273.0,1.0
a_m[namedtupleutils],0.933,0.002,0.93,0.936,0.0,0.0,20574.0,14332.0,1.0
