,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_p[Pop],-0.017,0.015,-0.039,0.003,0.0,0.0,7959.0,15565.0,1.0
b_p[ChromLen],-0.007,0.011,-0.025,0.009,0.0,0.0,16894.0,16807.0,1.0
b_p[TestDeleteProb],-0.007,0.011,-0.025,0.009,0.0,0.0,15533.0,16642.0,1.0
b_p[StatemInsertProb],-0.003,0.01,-0.019,0.014,0.0,0.0,27862.0,15045.0,1.0
b_p[Crossover],-0.001,0.01,-0.017,0.016,0.0,0.0,28463.0,16694.0,1.0
b_p[TourSize],0.0,0.01,-0.016,0.017,0.0,0.0,28456.0,17397.0,1.0
b_p[TestChangeProb],0.002,0.01,-0.014,0.019,0.0,0.0,25234.0,16116.0,1.0
b_p[Elite],0.003,0.01,-0.012,0.021,0.0,0.0,24445.0,17063.0,1.0
b_p[RandPert],0.004,0.011,-0.011,0.022,0.0,0.0,22779.0,17326.0,1.0
b_p[TestInsertProb],0.005,0.011,-0.011,0.023,0.0,0.0,19108.0,17214.0,1.0
b_p[ChangeParamProb],0.006,0.011,-0.01,0.024,0.0,0.0,20063.0,16722.0,1.0
b_p[TestInsertionProb],0.011,0.012,-0.007,0.03,0.0,0.0,11652.0,16005.0,1.0
