,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[config x ChangeParamProb|StatemInsertProb],-0.008,0.359,-0.501,0.449,0.003,0.002,25527.0,15706.0,1.0
g_mp[lazy_import x ChromLen|Pop],-0.008,0.356,-0.448,0.513,0.003,0.002,24263.0,15667.0,1.0
g_mp[signals x Elite|TourSize],-0.007,0.356,-0.51,0.443,0.003,0.002,25257.0,16962.0,1.0
g_mp[dict_unpacking x Pop|TourSize],-0.007,0.351,-0.485,0.451,0.003,0.002,24151.0,17386.0,1.0
g_mp[lazy_import x ChangeParamProb|TourSize],-0.007,0.348,-0.479,0.488,0.003,0.002,23469.0,16884.0,1.0
g_mp[lazy_import x Pop|TestChangeProb],-0.007,0.355,-0.512,0.455,0.003,0.002,24816.0,16523.0,1.0
g_mp[immutable_list x ChangeParamProb|Elite],-0.007,0.353,-0.501,0.455,0.003,0.002,23712.0,17086.0,1.0
g_mp[positional_validation x Pop|TourSize],-0.007,0.351,-0.486,0.449,0.003,0.002,24594.0,16103.0,1.0
g_mp[timer x Crossover|TestInsertionProb],-0.006,0.355,-0.462,0.479,0.003,0.002,24312.0,16701.0,1.0
g_mp[dict_unpacking x StatemInsertProb|TestInsertProb],-0.006,0.349,-0.475,0.462,0.003,0.002,24245.0,16984.0,1.0
g_mp[headers x StatemInsertProb|TestInsertProb],-0.006,0.353,-0.471,0.49,0.003,0.002,23454.0,16659.0,1.0
g_mp[namedtupleutils x Crossover|TestInsertProb],-0.006,0.351,-0.499,0.444,0.003,0.002,24351.0,15998.0,1.0
g_mp[immutable_list x TestDeleteProb|TestInsertionProb],-0.006,0.355,-0.485,0.481,0.003,0.002,25008.0,16689.0,1.0
g_mp[dict_unpacking x TestChangeProb|TestDeleteProb],-0.006,0.356,-0.512,0.46,0.003,0.002,24015.0,16640.0,1.0
g_mp[immutable_list x Pop|TestChangeProb],-0.006,0.354,-0.477,0.483,0.003,0.002,22581.0,16463.0,1.0
g_mp[h_base x TestDeleteProb|TourSize],-0.006,0.357,-0.482,0.488,0.003,0.002,22832.0,16644.0,1.0
g_mp[namedtupleutils x Elite|StatemInsertProb],-0.006,0.348,-0.445,0.486,0.003,0.002,24100.0,16201.0,1.0
g_mp[return_from_generator x TestDeleteProb|TourSize],-0.006,0.352,-0.475,0.489,0.003,0.002,24498.0,16683.0,1.0
g_mp[lazy_import x Crossover|RandPert],-0.006,0.356,-0.507,0.459,0.003,0.002,23791.0,16474.0,1.0
g_mp[headers x Pop|TestInsertProb],-0.006,0.346,-0.451,0.515,0.003,0.002,23022.0,17317.0,1.0
g_mp[immutable_list x StatemInsertProb|TourSize],0.006,0.347,-0.491,0.464,0.003,0.002,23688.0,16085.0,1.0
g_mp[maybe x ChangeParamProb|Crossover],0.006,0.35,-0.44,0.496,0.003,0.002,23372.0,17214.0,1.0
g_mp[positional_validation x TestInsertionProb|TourSize],0.006,0.352,-0.489,0.456,0.003,0.002,24525.0,15928.0,1.0
g_mp[return_from_generator x ChangeParamProb|Crossover],0.006,0.347,-0.464,0.484,0.003,0.002,24887.0,16662.0,1.0
g_mp[headers x Pop|TestDeleteProb],0.006,0.35,-0.483,0.48,0.003,0.002,26373.0,15515.0,1.0
g_mp[cmd x ChromLen|Crossover],0.006,0.354,-0.457,0.501,0.003,0.002,24131.0,16481.0,1.0
g_mp[positional_validation x Crossover|TestDeleteProb],0.006,0.353,-0.502,0.446,0.003,0.002,23228.0,16118.0,1.0
g_mp[timer x ChangeParamProb|TourSize],0.006,0.349,-0.48,0.474,0.003,0.002,23144.0,16883.0,1.0
g_mp[pgzero_frontend x Pop|TestDeleteProb],0.006,0.353,-0.53,0.432,0.003,0.002,24546.0,16871.0,1.0
g_mp[py_base x Pop|RandPert],0.006,0.354,-0.473,0.48,0.003,0.002,24631.0,16361.0,1.0
g_mp[da x ChangeParamProb|TestDeleteProb],0.006,0.357,-0.478,0.486,0.003,0.002,23970.0,16443.0,1.0
g_mp[config x ChangeParamProb|Pop],0.007,0.355,-0.446,0.51,0.003,0.002,23615.0,17749.0,1.0
g_mp[s_helpers x ChangeParamProb|TestChangeProb],0.007,0.357,-0.484,0.467,0.003,0.002,22732.0,16681.0,1.0
g_mp[da x Pop|TourSize],0.007,0.347,-0.451,0.488,0.003,0.002,23186.0,15756.0,1.0
g_mp[signals x Crossover|TestDeleteProb],0.007,0.343,-0.476,0.471,0.003,0.002,22736.0,17672.0,1.0
g_mp[immutable_list x Pop|TourSize],0.007,0.357,-0.461,0.494,0.003,0.002,24059.0,16399.0,1.0
g_mp[yield_from x ChromLen|TestInsertionProb],0.007,0.351,-0.498,0.468,0.003,0.002,22962.0,16737.0,1.0
g_mp[timer x TestChangeProb|TestDeleteProb],0.008,0.349,-0.486,0.461,0.003,0.002,25631.0,17025.0,1.0
g_mp[return_from_generator x ChangeParamProb|TestDeleteProb],0.008,0.345,-0.442,0.512,0.003,0.002,23961.0,17091.0,1.0
g_mp[journaling x Elite|Pop],0.013,0.345,-0.429,0.526,0.003,0.002,25674.0,16953.0,1.0
