,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[decorators x ChangeParamProb|StatemInsertProb],1.058,0.486,0.554,1.47,0.004,0.003,24816.0,15444.0,1.0
g_mp[timer x Pop|StatemInsertProb],1.059,0.537,0.537,1.444,0.004,0.003,23006.0,16647.0,1.0
g_mp[headers x Pop|TestInsertProb],1.059,0.527,0.558,1.503,0.004,0.003,23022.0,17317.0,1.0
g_mp[lazy_import x ChangeParamProb|TourSize],1.059,0.59,0.519,1.448,0.004,0.003,23469.0,16884.0,1.0
g_mp[immutable_list x ChromLen|TestInsertProb],1.06,0.498,0.53,1.445,0.004,0.003,24337.0,16861.0,1.0
g_mp[lazy_import x ChromLen|Pop],1.061,0.646,0.517,1.45,0.005,0.003,24263.0,15667.0,1.0
g_mp[timer x TestDeleteProb|TourSize],1.061,0.597,0.544,1.454,0.004,0.003,25219.0,16905.0,1.0
g_mp[py_helpers x ChromLen|TestInsertProb],1.062,0.615,0.512,1.424,0.005,0.003,24277.0,16814.0,1.0
g_mp[da x Elite|TestDeleteProb],1.062,0.587,0.532,1.45,0.004,0.003,24439.0,16617.0,1.0
g_mp[timer x Crossover|TestInsertionProb],1.062,0.579,0.528,1.444,0.004,0.003,24312.0,16701.0,1.0
g_mp[config x ChangeParamProb|StatemInsertProb],1.062,0.6,0.538,1.467,0.005,0.003,25527.0,15706.0,1.0
g_mp[headers x ChromLen|TestInsertionProb],1.062,0.592,0.527,1.443,0.004,0.003,25228.0,16907.0,1.0
g_mp[py_base x Crossover|TestInsertProb],1.063,0.573,0.553,1.468,0.004,0.003,22012.0,17217.0,1.0
g_mp[decorators x Crossover|StatemInsertProb],1.063,0.609,0.547,1.459,0.005,0.003,24596.0,16987.0,1.0
g_mp[return_from_generator x TestChangeProb|TourSize],1.063,0.571,0.523,1.46,0.004,0.003,23544.0,15902.0,1.0
g_mp[dict_unpacking x Pop|TourSize],1.063,0.633,0.509,1.424,0.005,0.003,24151.0,17386.0,1.0
g_mp[cmd x ChangeParamProb|TestDeleteProb],1.063,0.595,0.524,1.447,0.004,0.003,24229.0,17588.0,1.0
g_mp[immutable_list x Pop|RandPert],1.063,0.612,0.537,1.456,0.005,0.003,22567.0,16588.0,1.0
g_mp[validation x Pop|StatemInsertProb],1.063,0.622,0.535,1.457,0.005,0.003,23804.0,16247.0,1.0
g_mp[yield_from x Pop|TestInsertProb],1.063,0.565,0.54,1.463,0.005,0.003,23417.0,16632.0,1.0
