,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[da],801.855,10.509,785.936,819.35,0.29,0.206,1314.0,2882.0,1.0
a_m[config],809.267,10.547,792.527,826.364,0.297,0.21,1270.0,3282.0,1.0
a_m[maybe],1094.55,14.412,1071.195,1116.887,0.409,0.29,1243.0,3457.0,1.0
a_m[cmd],1189.724,15.584,1164.622,1214.412,0.441,0.312,1252.0,3237.0,1.0
a_m[immutable_list],1229.021,16.22,1202.822,1254.351,0.454,0.322,1279.0,3263.0,1.0
a_m[timer],1240.224,16.137,1214.533,1266.106,0.443,0.313,1331.0,3344.0,1.0
a_m[namedtupleutils],1328.897,17.252,1300.893,1356.276,0.48,0.34,1292.0,3351.0,1.0
a_m[dict_unpacking],1364.157,17.837,1335.66,1392.473,0.511,0.362,1218.0,3596.0,1.0
a_m[packages],1395.906,18.227,1366.867,1424.897,0.504,0.356,1311.0,3257.0,1.0
a_m[lazy_import],1423.644,18.584,1393.798,1453.484,0.52,0.368,1282.0,3022.0,1.0
a_m[signals],1482.448,19.28,1451.239,1512.747,0.532,0.376,1320.0,3433.0,1.0
a_m[return_from_generator],1483.583,19.308,1453.204,1515.238,0.542,0.384,1274.0,3150.0,1.0
a_m[journaling],1499.284,19.682,1467.593,1530.127,0.541,0.383,1327.0,3533.0,1.0
a_m[py_base],1510.387,19.612,1480.093,1542.835,0.54,0.382,1325.0,3247.0,1.0
a_m[decorators],1636.354,21.367,1603.021,1671.025,0.587,0.415,1329.0,3316.0,1.0
a_m[yield_from],1787.415,23.428,1749.948,1824.548,0.665,0.471,1243.0,3092.0,1.0
a_m[py_helpers],1946.142,25.45,1904.993,1986.137,0.734,0.52,1209.0,3520.0,1.0
a_m[validation],2044.652,26.539,2002.851,2087.463,0.755,0.534,1242.0,3251.0,1.0
a_m[s_helpers],2045.574,26.845,2000.738,2086.247,0.752,0.532,1287.0,3463.0,1.0
a_m[h_base],2170.613,28.129,2125.406,2215.254,0.791,0.56,1273.0,3258.0,1.0
a_m[pgzero_frontend],2475.908,32.074,2424.217,2526.912,0.904,0.64,1263.0,3049.0,1.0
a_m[headers],2653.309,34.669,2596.778,2708.411,0.98,0.693,1253.0,3487.0,1.0
a_m[python],2980.984,38.932,2919.638,3043.402,1.1,0.778,1252.0,3258.0,1.0
a_m[positional_validation],3158.977,41.071,3092.041,3223.185,1.142,0.808,1296.0,3559.0,1.0
