,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_p[Pop|TestInsertionProb],0.71,0.012,0.691,0.729,0.0,0.0,1996.0,5367.0,1.0
b_p[TestChangeProb|TestInsertionProb],0.805,0.013,0.784,0.826,0.0,0.0,2054.0,5710.0,1.0
b_p[TestInsertProb|TestInsertionProb],0.811,0.013,0.789,0.832,0.0,0.0,2051.0,5765.0,1.0
b_p[ChangeParamProb|TestInsertionProb],0.814,0.013,0.793,0.835,0.0,0.0,2066.0,5175.0,1.0
b_p[ChromLen|TestInsertionProb],0.816,0.014,0.794,0.837,0.0,0.0,2038.0,6141.0,1.0
b_p[RandPert|TestInsertionProb],0.821,0.014,0.799,0.843,0.0,0.0,2044.0,5812.0,1.0
b_p[Crossover|TestInsertionProb],0.822,0.014,0.801,0.845,0.0,0.0,1986.0,5857.0,1.0
b_p[Elite|TestInsertionProb],0.823,0.014,0.801,0.845,0.0,0.0,1978.0,5259.0,1.0
b_p[TestDeleteProb|TestInsertionProb],0.826,0.014,0.804,0.848,0.0,0.0,2001.0,5939.0,1.0
b_p[StatemInsertProb|TestInsertionProb],0.826,0.014,0.805,0.849,0.0,0.0,1878.0,5486.0,1.0
b_p[TestInsertionProb|TourSize],0.83,0.014,0.808,0.853,0.0,0.0,2167.0,5587.0,1.0
b_p[Pop|TestInsertProb],0.832,0.014,0.811,0.855,0.0,0.0,1960.0,5678.0,1.0
b_p[Pop|StatemInsertProb],0.839,0.014,0.817,0.862,0.0,0.0,1920.0,5588.0,1.0
b_p[ChromLen|Pop],0.84,0.014,0.818,0.862,0.0,0.0,2036.0,5485.0,1.0
b_p[Pop|TestDeleteProb],0.842,0.014,0.821,0.865,0.0,0.0,2109.0,5488.0,1.0
b_p[Crossover|Pop],0.849,0.014,0.827,0.872,0.0,0.0,2048.0,4836.0,1.0
b_p[ChangeParamProb|Pop],0.849,0.014,0.827,0.871,0.0,0.0,1940.0,5200.0,1.0
b_p[Elite|Pop],0.851,0.014,0.828,0.873,0.0,0.0,2067.0,4380.0,1.0
b_p[Pop|TourSize],0.854,0.014,0.833,0.878,0.0,0.0,1873.0,5406.0,1.0
b_p[Pop|TestChangeProb],0.854,0.014,0.831,0.876,0.0,0.0,1995.0,5174.0,1.0
b_p[Pop|RandPert],0.867,0.014,0.844,0.89,0.0,0.0,1949.0,5702.0,1.0
b_p[StatemInsertProb|TestChangeProb],0.963,0.016,0.938,0.988,0.0,0.0,1893.0,4545.0,1.0
b_p[Crossover|TestChangeProb],0.963,0.016,0.938,0.989,0.0,0.0,1942.0,5618.0,1.0
b_p[Crossover|TestDeleteProb],0.966,0.016,0.941,0.991,0.0,0.0,1922.0,5444.0,1.0
b_p[RandPert|TestDeleteProb],0.968,0.016,0.944,0.995,0.0,0.0,2082.0,5538.0,1.0
b_p[StatemInsertProb|TestInsertProb],0.968,0.016,0.943,0.994,0.0,0.0,2024.0,4878.0,1.0
b_p[TestChangeProb|TestInsertProb],0.969,0.016,0.944,0.994,0.0,0.0,1888.0,5133.0,1.0
b_p[StatemInsertProb|TestDeleteProb],0.97,0.016,0.945,0.996,0.0,0.0,2015.0,5439.0,1.0
b_p[Elite|StatemInsertProb],0.972,0.016,0.947,0.998,0.0,0.0,2046.0,5253.0,1.0
b_p[TestChangeProb|TestDeleteProb],0.973,0.016,0.949,1.0,0.0,0.0,1936.0,5041.0,1.0
b_p[TestDeleteProb|TestInsertProb],0.974,0.016,0.948,0.998,0.0,0.0,1813.0,5442.0,1.0
b_p[Crossover|TestInsertProb],0.976,0.016,0.951,1.001,0.0,0.0,1931.0,5417.0,1.0
b_p[ChromLen|TestDeleteProb],0.977,0.016,0.951,1.002,0.0,0.0,1886.0,5535.0,1.0
b_p[Elite|RandPert],0.979,0.016,0.954,1.004,0.0,0.0,1973.0,5548.0,1.0
b_p[ChangeParamProb|TestChangeProb],0.979,0.016,0.953,1.004,0.0,0.0,1953.0,5045.0,1.0
b_p[ChromLen|StatemInsertProb],0.979,0.016,0.953,1.004,0.0,0.0,1834.0,4773.0,1.0
b_p[RandPert|TestChangeProb],0.98,0.016,0.956,1.006,0.0,0.0,1988.0,5251.0,1.0
b_p[Elite|TestInsertProb],0.981,0.016,0.956,1.008,0.0,0.0,1765.0,4703.0,1.0
b_p[ChromLen|Crossover],0.983,0.016,0.958,1.009,0.0,0.0,1839.0,4939.0,1.0
b_p[Crossover|RandPert],0.983,0.016,0.958,1.009,0.0,0.0,1911.0,5338.0,1.0
b_p[Crossover|Elite],0.983,0.016,0.957,1.008,0.0,0.0,1926.0,5345.0,1.0
b_p[RandPert|StatemInsertProb],0.984,0.016,0.958,1.01,0.0,0.0,1885.0,5870.0,1.0
b_p[TestInsertProb|TourSize],0.987,0.016,0.962,1.013,0.0,0.0,1884.0,5419.0,1.0
b_p[ChromLen|TestChangeProb],0.99,0.016,0.962,1.014,0.0,0.0,1938.0,5406.0,1.0
b_p[ChangeParamProb|TestDeleteProb],0.99,0.016,0.965,1.016,0.0,0.0,1904.0,5265.0,1.0
b_p[StatemInsertProb|TourSize],0.991,0.016,0.965,1.017,0.0,0.0,1767.0,4972.0,1.0
b_p[ChangeParamProb|Crossover],0.991,0.016,0.965,1.017,0.0,0.0,1821.0,4624.0,1.0
b_p[TestDeleteProb|TourSize],0.991,0.016,0.966,1.018,0.0,0.0,1896.0,4353.0,1.0
b_p[RandPert|TestInsertProb],0.992,0.016,0.965,1.018,0.0,0.0,1977.0,5148.0,1.0
b_p[Crossover|StatemInsertProb],0.992,0.016,0.966,1.018,0.0,0.0,1933.0,4985.0,1.0
b_p[RandPert|TourSize],0.993,0.016,0.967,1.018,0.0,0.0,1924.0,5137.0,1.0
b_p[Elite|TestDeleteProb],0.995,0.016,0.969,1.021,0.0,0.0,1854.0,5408.0,1.0
b_p[Elite|TestChangeProb],0.995,0.016,0.968,1.02,0.0,0.0,1902.0,5206.0,1.0
b_p[ChromLen|TestInsertProb],0.995,0.016,0.969,1.02,0.0,0.0,1943.0,4881.0,1.0
b_p[ChangeParamProb|Elite],0.997,0.016,0.971,1.023,0.0,0.0,1998.0,5788.0,1.0
b_p[ChangeParamProb|TestInsertProb],0.997,0.016,0.971,1.023,0.0,0.0,1865.0,4887.0,1.0
b_p[Elite|TourSize],0.998,0.016,0.972,1.024,0.0,0.0,1831.0,4965.0,1.0
b_p[ChangeParamProb|ChromLen],0.999,0.016,0.973,1.025,0.0,0.0,2027.0,5525.0,1.0
b_p[ChromLen|TourSize],1.001,0.016,0.976,1.027,0.0,0.0,1945.0,5026.0,1.0
b_p[ChromLen|RandPert],1.001,0.016,0.974,1.026,0.0,0.0,1972.0,5543.0,1.0
b_p[ChangeParamProb|RandPert],1.002,0.016,0.976,1.028,0.0,0.0,2048.0,5112.0,1.0
b_p[ChromLen|Elite],1.003,0.016,0.976,1.029,0.0,0.0,1959.0,5643.0,1.0
b_p[Crossover|TourSize],1.004,0.016,0.977,1.03,0.0,0.0,1866.0,4997.0,1.0
b_p[TestChangeProb|TourSize],1.006,0.016,0.979,1.032,0.0,0.0,2072.0,5446.0,1.0
b_p[ChangeParamProb|TourSize],1.008,0.016,0.982,1.035,0.0,0.0,1804.0,4853.0,1.0
b_p[ChangeParamProb|StatemInsertProb],1.014,0.017,0.988,1.041,0.0,0.0,1908.0,4665.0,1.0
