,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[positional_validation x TestInsertionProb],-0.034,0.021,-0.067,-0.001,0.0,0.0,32378.0,14159.0,1.0
g_mp[python x TestInsertionProb],-0.034,0.021,-0.066,0.0,0.0,0.0,29527.0,13739.0,1.0
g_mp[namedtupleutils x Elite],-0.033,0.021,-0.068,-0.002,0.0,0.0,32056.0,14225.0,1.0
g_mp[helpers x Crossover],-0.031,0.021,-0.064,0.002,0.0,0.0,29970.0,14383.0,1.0
g_mp[namedtupleutils x TourSize],-0.031,0.021,-0.064,0.002,0.0,0.0,33985.0,14953.0,1.0
g_mp[decorators x Pop],-0.03,0.021,-0.065,0.002,0.0,0.0,33054.0,13605.0,1.0
g_mp[python x Crossover],-0.029,0.021,-0.062,0.004,0.0,0.0,30049.0,14704.0,1.0
g_mp[config x TourSize],-0.027,0.02,-0.059,0.005,0.0,0.0,36215.0,14802.0,1.0
g_mp[return_from_generator x ChromLen],-0.027,0.02,-0.058,0.007,0.0,0.0,35838.0,14611.0,1.0
g_mp[helpers x Pop],-0.026,0.02,-0.058,0.007,0.0,0.0,36058.0,15025.0,1.0
g_mp[helpers x Elite],-0.026,0.021,-0.058,0.007,0.0,0.0,33953.0,13914.0,1.0
g_mp[helpers x TestDeleteProb],-0.025,0.02,-0.057,0.007,0.0,0.0,35630.0,14719.0,1.0
g_mp[positional_validation x Pop],-0.025,0.02,-0.057,0.008,0.0,0.0,32999.0,15478.0,1.0
g_mp[da x TestChangeProb],-0.023,0.02,-0.055,0.009,0.0,0.0,33006.0,16328.0,1.0
g_mp[maybe x Crossover],-0.023,0.02,-0.055,0.009,0.0,0.0,34930.0,14592.0,1.0
g_mp[validation x Elite],-0.023,0.02,-0.054,0.011,0.0,0.0,33405.0,14458.0,1.0
g_mp[packages x Pop],-0.022,0.02,-0.055,0.01,0.0,0.0,35093.0,14322.0,1.0
g_mp[da x ChangeParamProb],-0.021,0.02,-0.052,0.013,0.0,0.0,40662.0,12894.0,1.0
g_mp[yield_from x TestChangeProb],-0.021,0.02,-0.053,0.011,0.0,0.0,40504.0,13956.0,1.0
g_mp[packages x TestInsertionProb],-0.02,0.02,-0.053,0.011,0.0,0.0,38705.0,14353.0,1.0
g_mp[helpers x TestChangeProb],0.019,0.02,-0.013,0.05,0.0,0.0,44805.0,14646.0,1.0
g_mp[namedtupleutils x StatemInsertProb],0.02,0.02,-0.013,0.051,0.0,0.0,34256.0,14549.0,1.0
g_mp[maybe x TestChangeProb],0.02,0.02,-0.012,0.051,0.0,0.0,34676.0,14874.0,1.0
g_mp[validation x TourSize],0.021,0.02,-0.011,0.054,0.0,0.0,33647.0,14897.0,1.0
g_mp[config x Elite],0.021,0.021,-0.011,0.054,0.0,0.0,38507.0,15032.0,1.0
g_mp[config x Pop],0.021,0.02,-0.011,0.054,0.0,0.0,40220.0,14351.0,1.0
g_mp[pgzero_frontend x Pop],0.023,0.02,-0.009,0.054,0.0,0.0,39913.0,14661.0,1.0
g_mp[signals x Pop],0.023,0.02,-0.009,0.054,0.0,0.0,37888.0,14244.0,1.0
g_mp[da x Pop],0.023,0.02,-0.009,0.055,0.0,0.0,36689.0,14280.0,1.0
g_mp[immutable_list x Pop],0.026,0.02,-0.006,0.059,0.0,0.0,36094.0,14335.0,1.0
g_mp[maybe x TestDeleteProb],0.026,0.02,-0.006,0.059,0.0,0.0,37265.0,14474.0,1.0
g_mp[timer x RandPert],0.027,0.02,-0.004,0.06,0.0,0.0,35738.0,13922.0,1.0
g_mp[maybe x TestInsertionProb],0.027,0.02,-0.006,0.059,0.0,0.0,31476.0,14033.0,1.0
g_mp[maybe x Pop],0.03,0.021,-0.003,0.063,0.0,0.0,31405.0,15316.0,1.0
g_mp[config x TestInsertionProb],0.031,0.021,-0.002,0.064,0.0,0.0,31446.0,14594.0,1.0
g_mp[helpers x Crossover],0.033,0.02,0.001,0.065,0.0,0.0,30651.0,15147.0,1.0
g_mp[helpers x ChromLen],0.036,0.02,0.004,0.069,0.0,0.0,30412.0,14819.0,1.0
g_mp[helpers x TestInsertionProb],0.039,0.021,0.006,0.072,0.0,0.0,30369.0,14067.0,1.0
g_mp[validation x Crossover],0.039,0.021,0.006,0.071,0.0,0.0,29603.0,14541.0,1.0
g_mp[da x TourSize],0.04,0.021,0.005,0.071,0.0,0.0,28623.0,15138.0,1.0
