,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[da],6.429,0.013,6.409,6.45,0.0,0.0,21759.0,18090.0,1.0
a_m[config],6.723,0.013,6.703,6.744,0.0,0.0,22122.0,18252.0,1.0
a_m[dict_unpacking],6.909,0.013,6.889,6.93,0.0,0.0,23024.0,18401.0,1.0
a_m[return_from_generator],6.987,0.013,6.966,7.007,0.0,0.0,22187.0,17821.0,1.0
a_m[py_base],7.005,0.013,6.984,7.025,0.0,0.0,23819.0,17087.0,1.0
a_m[maybe],7.05,0.013,7.03,7.071,0.0,0.0,23305.0,17988.0,1.0
a_m[immutable_list],7.113,0.013,7.092,7.134,0.0,0.0,22682.0,16916.0,1.0
a_m[yield_from],7.119,0.013,7.099,7.14,0.0,0.0,22789.0,17341.0,1.0
a_m[cmd],7.135,0.013,7.114,7.155,0.0,0.0,23124.0,18198.0,1.0
a_m[timer],7.166,0.013,7.146,7.186,0.0,0.0,23156.0,17556.0,1.0
a_m[namedtupleutils],7.258,0.013,7.237,7.278,0.0,0.0,23553.0,16791.0,1.0
a_m[lazy_import],7.302,0.013,7.282,7.322,0.0,0.0,22062.0,17294.0,1.0
a_m[packages],7.32,0.013,7.299,7.34,0.0,0.0,22457.0,17790.0,1.0
a_m[journaling],7.333,0.013,7.312,7.353,0.0,0.0,21327.0,16176.0,1.0
a_m[signals],7.337,0.013,7.317,7.357,0.0,0.0,22265.0,16206.0,1.0
a_m[decorators],7.429,0.013,7.409,7.45,0.0,0.0,22397.0,16684.0,1.0
a_m[h_base],7.437,0.013,7.416,7.457,0.0,0.0,22658.0,17174.0,1.0
a_m[helpers],7.597,0.013,7.577,7.617,0.0,0.0,23114.0,18014.0,1.0
a_m[headers],7.65,0.013,7.63,7.671,0.0,0.0,23348.0,18318.0,1.0
a_m[helpers],7.676,0.013,7.656,7.696,0.0,0.0,21027.0,17612.0,1.0
a_m[validation],7.703,0.013,7.683,7.723,0.0,0.0,23710.0,17743.0,1.0
a_m[pgzero_frontend],7.876,0.013,7.856,7.896,0.0,0.0,22589.0,18206.0,1.0
a_m[python],8.06,0.013,8.04,8.081,0.0,0.0,23342.0,18653.0,1.0
a_m[positional_validation],8.173,0.013,8.152,8.193,0.0,0.0,22353.0,18929.0,1.0
