,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
a_m[da],619.714,8.083,606.983,632.734,0.055,0.039,21759.0,18090.0,1.0
a_m[config],831.474,10.788,814.443,848.752,0.073,0.051,22122.0,18252.0,1.0
a_m[dict_unpacking],1001.366,12.78,980.322,1021.419,0.084,0.06,23024.0,18401.0,1.0
a_m[return_from_generator],1082.15,13.905,1060.161,1104.215,0.093,0.066,22187.0,17821.0,1.0
a_m[py_base],1102.237,14.042,1079.606,1124.503,0.091,0.064,23819.0,17087.0,1.0
a_m[maybe],1153.118,14.838,1130.425,1177.621,0.097,0.069,23305.0,17988.0,1.0
a_m[immutable_list],1227.988,15.945,1202.688,1253.541,0.106,0.075,22682.0,16916.0,1.0
a_m[yield_from],1235.165,15.786,1210.513,1261.247,0.105,0.074,22789.0,17341.0,1.0
a_m[cmd],1254.687,16.154,1228.876,1280.308,0.106,0.075,23124.0,18198.0,1.0
a_m[timer],1295.201,16.536,1268.515,1321.127,0.109,0.077,23156.0,17556.0,1.0
a_m[namedtupleutils],1419.268,18.172,1390.546,1448.593,0.118,0.084,23553.0,16791.0,1.0
a_m[lazy_import],1483.377,18.891,1453.801,1513.895,0.127,0.09,22062.0,17294.0,1.0
a_m[packages],1510.31,19.267,1479.377,1540.682,0.129,0.091,22457.0,17790.0,1.0
a_m[journaling],1529.651,19.699,1497.602,1560.292,0.135,0.095,21327.0,16176.0,1.0
a_m[signals],1535.525,19.493,1505.137,1567.095,0.131,0.092,22265.0,16206.0,1.0
a_m[decorators],1684.62,21.557,1650.576,1719.504,0.144,0.102,22397.0,16684.0,1.0
a_m[h_base],1698.189,21.7,1662.928,1732.106,0.144,0.102,22658.0,17174.0,1.0
a_m[helpers],1993.174,25.284,1952.689,2033.464,0.166,0.118,23114.0,18014.0,1.0
a_m[headers],2101.412,27.036,2058.076,2144.255,0.177,0.125,23348.0,18318.0,1.0
a_m[helpers],2157.1,27.297,2113.869,2200.521,0.188,0.133,21027.0,17612.0,1.0
a_m[validation],2214.136,28.142,2170.197,2260.178,0.183,0.129,23710.0,17743.0,1.0
a_m[pgzero_frontend],2632.73,33.189,2580.861,2686.558,0.221,0.156,22589.0,18206.0,1.0
a_m[python],3166.868,40.368,3101.008,3229.716,0.264,0.187,23342.0,18653.0,1.0
a_m[positional_validation],3543.222,44.941,3468.897,3611.771,0.301,0.213,22353.0,18929.0,1.0
