,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_p[TestInsertionProb],-0.241,0.011,-0.259,-0.224,0.0,0.0,22030.0,18128.0,1.0
b_p[Pop],-0.216,0.011,-0.233,-0.198,0.0,0.0,21824.0,18524.0,1.0
b_p[TestInsertProb],-0.075,0.011,-0.092,-0.058,0.0,0.0,21483.0,17126.0,1.0
b_p[TestChangeProb],-0.074,0.011,-0.092,-0.058,0.0,0.0,22367.0,16757.0,1.0
b_p[StatemInsertProb],-0.071,0.011,-0.087,-0.053,0.0,0.0,21943.0,17611.0,1.0
b_p[Elite],-0.07,0.011,-0.086,-0.052,0.0,0.0,23760.0,17331.0,1.0
b_p[Crossover],-0.069,0.011,-0.086,-0.052,0.0,0.0,23511.0,18658.0,1.0
b_p[TestDeleteProb],-0.065,0.011,-0.082,-0.048,0.0,0.0,22249.0,17005.0,1.0
b_p[ChangeParamProb],-0.057,0.011,-0.075,-0.04,0.0,0.0,23562.0,16917.0,1.0
b_p[RandPert],-0.053,0.011,-0.07,-0.035,0.0,0.0,23022.0,17155.0,1.0
b_p[TourSize],-0.053,0.011,-0.07,-0.036,0.0,0.0,22951.0,17961.0,1.0
b_p[ChromLen],-0.052,0.011,-0.07,-0.036,0.0,0.0,22932.0,17590.0,1.0
