,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_p[TestInsertionProb],0.786,0.009,0.772,0.799,0.0,0.0,22030.0,18128.0,1.0
b_p[Pop],0.806,0.009,0.792,0.82,0.0,0.0,21824.0,18524.0,1.0
b_p[TestInsertProb],0.927,0.01,0.912,0.943,0.0,0.0,21483.0,17126.0,1.0
b_p[TestChangeProb],0.929,0.01,0.912,0.944,0.0,0.0,22367.0,16757.0,1.0
b_p[StatemInsertProb],0.932,0.01,0.916,0.948,0.0,0.0,21943.0,17611.0,1.0
b_p[Crossover],0.933,0.01,0.917,0.949,0.0,0.0,23511.0,18658.0,1.0
b_p[Elite],0.933,0.01,0.917,0.949,0.0,0.0,23760.0,17331.0,1.0
b_p[TestDeleteProb],0.937,0.01,0.921,0.953,0.0,0.0,22249.0,17005.0,1.0
b_p[ChangeParamProb],0.945,0.01,0.928,0.961,0.0,0.0,23562.0,16917.0,1.0
b_p[TourSize],0.948,0.01,0.932,0.964,0.0,0.0,22951.0,17961.0,1.0
b_p[ChromLen],0.949,0.01,0.933,0.965,0.0,0.0,22932.0,17590.0,1.0
b_p[RandPert],0.949,0.01,0.933,0.965,0.0,0.0,23022.0,17155.0,1.0
